iter	Passed	Remaining
0	213	212797
1	217	108294
2	221	73503
3	225	56059
4	229	45609
5	232	38558
6	235	33470
7	239	29722
8	243	26767
9	245	24289
10	247	22231
11	249	20517
12	251	19084
13	253	17882
14	255	16809
15	258	15880
16	260	15055
17	262	14319
18	264	13651
19	266	13054
20	268	12522
21	270	12024
22	272	11561
23	273	11136
24	275	10749
25	277	10389
26	279	10055
27	280	9750
28	282	9465
29	284	9196
30	286	8947
31	288	8713
32	289	8495
33	291	8283
34	293	8087
35	295	7907
36	296	7729
37	298	7564
38	300	7406
39	302	7254
40	304	7113
41	306	6981
42	308	6856
43	309	6730
44	311	6612
45	313	6505
46	315	6396
47	317	6291
48	319	6191
49	320	6098
50	322	6008
51	324	5918
52	326	5833
53	328	5751
54	330	5671
55	331	5595
56	333	5521
57	335	5451
58	337	5380
59	339	5312
60	340	5247
61	342	5184
62	344	5121
63	346	5061
64	347	5003
65	349	4949
66	351	4894
67	352	4831
68	354	4778
69	355	4727
70	357	4677
71	359	4629
72	360	4582
73	362	4536
74	364	4494
75	366	4451
76	367	4411
77	369	4369
78	371	4329
79	373	4289
80	374	4251
81	376	4214
82	378	4186
83	381	4157
84	382	4119
85	384	4085
86	385	4047
87	387	4016
88	389	3990
89	391	3961
90	393	3934
91	395	3907
92	397	3875
93	398	3844
94	400	3812
95	401	3781
96	402	3750
97	404	3722
98	405	3693
99	407	3664
100	408	3636
101	409	3602
102	410	3575
103	411	3548
104	413	3521
105	414	3495
106	415	3469
107	417	3444
108	418	3420
109	419	3398
110	421	3374
111	422	3351
112	423	3328
113	425	3305
114	426	3282
115	427	3258
116	428	3237
117	430	3216
118	431	3193
119	432	3173
120	433	3152
121	435	3132
122	435	3108
123	437	3088
124	438	3069
125	439	3050
126	441	3032
127	441	3011
128	443	2993
129	444	2975
130	445	2958
131	447	2941
132	448	2924
133	450	2908
134	451	2891
135	452	2875
136	454	2860
137	455	2842
138	456	2827
139	457	2812
140	459	2797
141	460	2782
142	462	2769
143	466	2775
144	471	2779
145	475	2783
146	480	2785
147	484	2791
148	489	2796
149	494	2803
150	498	2805
151	503	2808
152	508	2812
