iter	Passed	Remaining
0	187	187426
1	189	94673
2	191	63770
3	193	48277
4	195	38977
5	197	32781
6	199	28323
7	201	25003
8	204	22490
9	206	20429
10	208	18720
11	210	17296
12	212	16102
13	214	15075
14	215	14171
15	218	13409
16	220	12736
17	222	12112
18	223	11531
19	224	11012
20	226	10543
21	227	10114
22	228	9713
23	229	9349
24	231	9018
25	232	8714
26	234	8434
27	235	8159
28	236	7903
29	236	7661
30	237	7436
31	238	7225
32	239	7027
33	240	6837
34	241	6658
35	242	6488
36	243	6328
37	243	6176
38	244	6032
39	245	5896
40	246	5770
41	247	5650
42	248	5531
43	249	5418
44	250	5309
45	250	5203
46	251	5104
47	252	5008
48	253	4916
49	254	4827
50	254	4742
51	255	4658
52	256	4580
53	257	4504
54	257	4431
55	258	4362
56	259	4297
57	260	4232
58	261	4171
59	262	4110
60	263	4050
61	263	3991
62	264	3935
63	265	3880
64	266	3827
65	266	3775
66	267	3725
67	268	3676
68	268	3629
69	269	3582
70	270	3538
71	271	3498
72	272	3456
73	272	3414
74	273	3374
75	274	3336
76	275	3299
77	276	3264
78	276	3228
79	277	3194
80	278	3161
81	279	3128
82	280	3093
83	280	3063
84	281	3031
85	282	3001
86	283	2971
87	283	2942
88	284	2913
89	285	2885
90	286	2858
91	286	2831
92	287	2804
93	288	2778
94	289	2753
95	290	2730
96	290	2708
97	291	2686
98	292	2663
99	293	2640
100	294	2618
101	294	2596
102	295	2574
103	296	2553
104	297	2532
105	297	2512
106	298	2492
107	299	2472
108	300	2453
109	300	2434
110	301	2415
111	302	2397
112	303	2379
113	303	2361
114	304	2345
115	305	2328
116	306	2311
117	307	2295
118	307	2279
119	308	2263
120	309	2247
121	309	2230
122	310	2215
123	311	2200
124	312	2185
125	313	2171
126	313	2155
127	314	2141
128	315	2127
129	315	2114
130	316	2100
131	317	2086
132	317	2072
133	318	2059
134	319	2047
135	320	2035
136	321	2023
137	322	2011
138	322	1999
139	323	1987
140	324	1975
141	324	1962
142	325	1951
143	326	1939
144	327	1928
145	327	1917
146	328	1906
147	329	1895
148	329	1884
149	330	1874
150	331	1863
151	332	1853
152	332	1842
153	333	1832
154	334	1822
155	335	1814
156	336	1805
157	337	1797
158	337	1787
159	338	1778
160	339	1768
161	340	1759
162	340	1750
163	341	1741
164	342	1732
165	343	1723
166	343	1714
167	344	1706
168	345	1697
169	345	1689
170	346	1680
171	347	1672
172	348	1664
173	348	1656
174	349	1648
175	350	1641
176	351	1634
177	352	1627
178	353	1619
179	353	1612
180	354	1604
181	355	1597
182	356	1589
183	356	1582
184	357	1575
185	358	1567
186	359	1560
187	359	1553
